Riverdale,Elevator,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income SQFT,Estimated Expense,Expense SQFT,Net Operating Income,Income to Expense Ratio,Market Value,Market Value SQFT
0,1,80,1957,57840,881482,15.24,500894,8.66,380587,1.759817446,2771000,47.91
0,1,73,1966,81730,1092730,13.37,536149,6.56,556581,2.038108809,3909000,47.83
0,1,169,1960,217800,3094938,14.21,1640034,7.53,1454904,1.887118194,10399000,47.75
0,1,33,1928,30886,444450,14.39,239058,7.74,205392,1.859172251,1473000,47.69
1,1,48,1954,72594,1128111,15.54,657702,9.06,470409,1.715231214,3446000,47.47
0,1,44,1936,45000,641250,14.25,342450,7.61,298800,1.872536137,2136000,47.47
0,1,66,1937,69441,972868,14.01,510391,7.35,462477,1.906122953,3291000,47.39
0,1,47,1938,42975,562973,13.1,272462,6.34,290511,2.0662441,2029000,47.21
0,1,66,1964,58600,937600,16,562560,9.6,375040,1.666666667,2766000,47.2
0,1,57,1937,55800,860994,15.43,502758,9.01,358236,1.71254162,2620000,46.95
0,1,54,1941,44270,678216,15.32,393560,8.89,284656,1.723284887,2078000,46.94
0,1,81,2008,93570,1333373,14.25,720489,7.7,612884,1.850650045,4385000,46.86
1,1,73,1941,86000,1347620,15.67,798940,9.29,548680,1.686759957,4026000,46.81
1,1,121,1941,125148,1902250,15.2,1098799,8.78,803450,1.731208347,5846000,46.71
0,1,135,1963,124045,1794931,14.47,988639,7.97,806293,1.815557549,5792000,46.69
0,1,169,1954,216000,3324240,15.39,1950480,9.03,1373760,1.704318937,10044000,46.5
0,1,73,1930,73182,1050894,14.36,578138,7.9,472756,1.81772172,3391000,46.34
0,1,76,1965,85523,1281135,14.98,735498,8.6,545637,1.741860617,3958000,46.28
0,1,53,1955,62015,811776,13.09,401237,6.47,410539,2.023183306,2866000,46.21
1,1,84,1954,111675,1708628,15.3,1007309,9.02,701319,1.696230253,5118000,45.83
0,1,58,1955,51060,761305,14.91,441669,8.65,319636,1.723700328,2315000,45.34
1,1,120,1954,207100,3265967,15.77,1994373,9.63,1271594,1.637590862,9344000,45.12
0,1,73,1960,75390,1016257,13.48,533761,7.08,482496,1.903955141,3395000,45.03
0,1,56,1941,55137,746004,13.53,398089,7.22,347914,1.873962858,2452000,44.47
0,1,65,1927,81502,1008180,12.37,479232,5.88,528948,2.103740986,3621000,44.43
0,1,62,1959,58500,903825,15.45,548145,9.37,355680,1.648879402,2599000,44.43
1,1,60,1970,60928,936463,15.37,567240,9.31,369224,1.650911431,2694000,44.22
0,1,60,1939,65070,911631,14.01,508197,7.81,403434,1.793853565,2872000,44.14
0,1,92,1959,105000,1528800,14.56,886200,8.44,642600,1.725118483,4630000,44.1
0,1,55,1963,80811,1116000,13.81,614164,7.6,501836,1.817104226,3562000,44.08
0,1,42,1936,46440,600005,12.92,305111,6.57,294894,1.966513826,2047000,44.08
0,1,73,1940,77850,963005,12.37,462429,5.94,500576,2.082492664,3427000,44.02
0,1,282,1949,351827,4278216,12.16,2012450,5.72,2265766,2.125874432,15436000,43.87
