Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
2-03131-0020,998 EAST 179 STREET,EAST TREMONT,D4  -ELEVATOR,       90,1971,90900,1987074,     21.86,1097163,12.07,889911,7009000,     77.11
2-05826-1685,255 FIELDSTON TERRACE,FIELDSTON,D4  -ELEVATOR,       76,1965,85523,1428234,     16.70,842402,9.85,585833,4394000,     51.38
2-05803-0960,4410 CAYUGA AVENUE,FIELDSTON,D4  -ELEVATOR,       49,1931,59000,945770,     16.03,512710,8.69,433060,3218000,     54.54
2-05803-0965,4414 CAYUGA AVENUE,FIELDSTON,D4  -ELEVATOR,       30,1930,30000,489900,     16.33,267000,8.9,222900,1664000,     55.47
2-05803-0985,4445 POST ROAD,FIELDSTON,D4  -ELEVATOR,       68,1940,62088,1126276,     18.14,709666,11.43,416610,3182000,     51.25
2-05836-3250,5235 POST ROAD,FIELDSTON,D4  -ELEVATOR,       68,1964,57414,1164356,     20.28,488593,8.51,675763,5248000,     91.41
2-05835-3037,6291 BROADWAY,FIELDSTON,C6  -WALK-UP,       42,1958,32400,578340,     17.85,316872,9.78,261468,1990000,     61.42
2-03149-0061,2025 VALENTINE AVENUE,FORDHAM,D4  -ELEVATOR,       36,1940,37350,625613,     16.75,325319,8.71,300294,2255000,     60.37
2-03179-0052,2075 WALTON AVENUE,FORDHAM,D4  -ELEVATOR,       54,1927,53898,749721,     13.91,467835,8.68,281887,2015000,     37.39
2-03144-0018,2122 VALENTINE AVENUE,FORDHAM,C6  -WALK-UP,       25,1926,19715,302428,     15.34,157326,7.98,145102,1067000,     54.12
2-03180-0013,2163 MORRIS AVENUE,FORDHAM,C6  -WALK-UP,       21,1917,18710,316199,     16.90,183358,9.8,132841,999000,     53.39
2-03145-0026,2279 TIEBOUT AVENUE,FORDHAM,C6  -WALK-UP,       16,1925,10032,182382,     18.18,92997,9.27,89385,683000,     68.08
2-03173-0001,2386 MORRIS AVENUE,FORDHAM,D4  -ELEVATOR,       33,1928,30886,496029,     16.06,262222,8.49,233807,1738000,     56.27
2-03165-0022,2414 CRESTON AVENUE,FORDHAM,C6  -WALK-UP,       30,1914,23250,375488,     16.15,206460,8.88,169028,1258000,     54.11
2-03173-0013,2420 MORRIS AVENUE,FORDHAM,D4  -ELEVATOR,       74,1955,75010,1125900,     15.01,633835,8.45,492066,3595000,     47.93
2-03151-0028,254 EAST 184 STREET,FORDHAM,C6  -WALK-UP,       24,1916,20955,360845,     17.22,204521,9.76,156324,1181000,     56.36
2-03149-0096,268 EAST 181 STREET,FORDHAM,C6  -WALK-UP,       30,1913,22202,322595,     14.53,167847,7.56,154748,1122000,     50.54
2-03293-0052,274 EAST 194 STREET,FORDHAM,C6  -WALK-UP,       20,1912,18500,271580,     14.68,139860,7.56,131720,957000,     51.73
2-03175-0010,55 EAST 190 STREET,FORDHAM,D4  -ELEVATOR,       54,1942,55440,867636,     15.65,457934,8.26,409702,3027000,     54.60
2-02511-0027,100 WEST 162 STREET,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       15,1907,13425,176405,     13.14,101090,7.53,75314,529000,     39.40
2-02508-0043,1001 ANDERSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       22,1922,20057,298849,     14.90,168278,8.39,130571,952000,     47.46
2-02508-0041,1015 ANDERSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       22,1922,23802,346319,     14.55,214456,9.01,131863,955000,     40.12
2-02523-0150,1015 SUMMIT AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       38,1928,36900,478593,     12.97,263097,7.13,215496,1506000,     40.81
2-02508-0026,1045 ANDERSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       50,1931,54180,710300,     13.11,400390,7.39,309910,2176000,     40.16
2-02510-0050,1177 ANDERSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,      119,1929,106386,1750050,     16.45,1017050,9.56,733000,5480000,     51.51
2-02510-0074,1201 SHAKESPEARE AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       61,1930,57230,813238,     14.21,480160,8.39,333079,2397000,     41.88
2-02521-0001,127 WEST 170 STREET,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       40,1925,39432,526417,     13.35,313484,7.95,212933,1504000,     38.14
2-02518-0028,132 WEST 169 STREET,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       25,1931,27018,446067,     16.51,213442,7.9,232625,1740000,     64.40
2-02516-0026,136 WEST 168 STREET,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       36,1926,30800,431508,     14.01,246092,7.99,185416,1330000,     43.18
2-02872-0001,1372 SHAKESPEARE AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       57,1926,39745,447131,     11.25,268279,6.75,178853,1189000,     29.92
2-02534-0008,1380 DR M L KING JR BOULEVARD,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,      140,1967,182218,2534652,     13.91,1266415,6.95,1268237,9061000,     49.73
2-02522-0109,1383 PLIMPTON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       26,1922,19250,268538,     13.95,161123,8.37,107415,769000,     39.95
2-02876-0001,1600 NELSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       32,1912,26650,308607,     11.58,197477,7.41,111131,747000,     28.03
2-02878-0061,1641 ANDREWS AVENUE SOUTH,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       61,1925,55750,661753,     11.87,364048,6.53,297705,2020000,     36.23
2-02867-0047,1711 DAVIDSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       87,1928,98700,1321593,     13.39,768873,7.79,552720,3907000,     39.58
2-02876-0131,1713 NELSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       48,1927,58350,820401,     14.06,508812,8.72,311589,2237000,     38.34
2-02861-0114,1770 DAVIDSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       65,1927,81502,1032630,     12.67,484937,5.95,547693,3799000,     46.61
2-02861-0119,1780 DAVIDSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       42,1928,42450,626987,     14.77,376107,8.86,250880,1824000,     42.97
2-02534-0038,185 WEST 170 STREET,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       21,1926,18750,236438,     12.61,134813,7.19,101625,705000,     37.60
2-02868-0121,1966 DR M L KING JR BOULEVARD,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       11,1914,17100,188442,     11.02,103626,6.06,84816,560000,     32.75
2-02870-0007,1986 GRAND AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       26,1924,18000,227700,     12.65,138960,7.72,88740,616000,     34.22
2-02869-0143,2015 GRAND AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       31,1924,25000,290000,     11.60,185750,7.43,104250,702000,     28.08
2-02524-0012,924 SUMMIT AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       21,1910,20750,401513,     19.35,202105,9.74,199408,1528000,     73.64
2-02504-0036,941 JEROME AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       86,1927,114941,1664346,     14.48,798840,6.95,865506,6260000,     54.46
2-02765-0140,1230 SPOFFORD AVENUE,HUNTS POINT,C6  -WALK-UP,       68,1928,56400,906348,     16.07,502524,8.91,403824,3003000,     53.24
2-02765-0146,645 BARRETTO STREET,HUNTS POINT,C6  -WALK-UP,       48,1927,38720,573830,     14.82,358547,9.26,215283,1567000,     40.47
2-02763-0227,750 FAILE STREET,HUNTS POINT,D4  -ELEVATOR,      111,1965,108306,1761056,     16.26,1047319,9.67,713737,5318000,     49.10
2-02740-0071,874 MANIDA STREET,HUNTS POINT,C6  -WALK-UP,       19,1910,14880,222456,     14.95,115618,7.77,106838,779000,     52.35
